"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","0","23","1","1","0.000000","0","164"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","12","2","1","17.210943","0","52"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","12","2","1","0.000000","0","52"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","30","8","1","55.583820","0","185"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","4","1","3.507827","0","6"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","0","23","5","1","116.571320","0","207"
"/Game/MSPresets/M_MS_Imperfection_Material_VT/M_MS_Imperfection_Material_Var_VT.M_MS_Imperfection_Material_Var_VT","0","14","3","1","78.265594","0","86"
"/Game/Levels/LowPolyInterior/Materials/M_LowPolyInterior_01.M_LowPolyInterior_01","0","23","1","1","115.789040","0","206"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","0","23","5","1","139.474625","0","201"
"/Game/Materials/Pickupables/M_Wheel.M_Wheel","0","26","1","1","156.707764","0","182"
"/Game/Materials/Pickupables/M_Core.M_Core","0","26","1","1","148.040131","0","211"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","0","23","1","1","119.843422","0","142"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","0","23","7","1","98.857590","0","169"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","36","1","1","44.440811","0","292"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","0","23","2","1","108.739479","0","171"
"/Game/Megascans/Surfaces/MaterialsMade/M_Carpet.M_Carpet","0","23","3","1","99.395073","0","203"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","35","5","1","143.113129","0","309"
"/Game/Materials/Pickupables/M_Treads.M_Treads","0","14","1","1","69.666611","0","73"
"/Game/LowPolyInterior/Materials/M_LowPolyInterior_01.M_LowPolyInterior_01","0","44","1","1","98.988762","0","593"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","23","7","1","115.507729","0","76"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","23","4","1","110.701668","0","111"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","35","5","1","163.795731","0","267"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","0","23","1","1","158.660049","0","106"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","23","1","1","106.398651","0","101"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","0","23","6","1","161.900558","0","177"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","15","1","1","27.342382","0","94"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","0","23","8","1","135.152893","0","181"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","0","23","2","1","158.140411","0","94"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","0","23","1","1","138.072784","0","165"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","0","42","1","1","179.316986","0","397"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","0","23","4","1","153.940811","0","126"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","0","23","2","1","134.128738","0","105"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","7.216049","0","7"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","0","23","6","1","144.906723","0","164"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","0","23","2","1","151.719193","0","139"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","23","2","1","152.387802","0","127"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","23","1","1","146.107895","0","124"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","0","23","3","1","150.216782","0","136"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","9","1","1","17.789791","0","30"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","72","4","1","227.325821","0","870"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","23","3","1","132.121094","0","192"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","0","23","2","1","136.987106","0","150"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","23","2","1","132.329834","0","129"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","9","4","1","19.749561","0","26"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","23","5","1","148.800507","0","130"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","23","7","1","154.627670","0","75"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","23","1","1","134.537613","0","135"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","0","23","2","1","137.203354","0","167"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","23","6","1","150.138245","0","172"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","23","4","1","134.050980","0","183"
